,index,trial_type,trial_index,time_elapsed,subject,study_id,condition,rt,url,view_history,response,question_order,success,timeout,failed_images,failed_audio,failed_video,responses,filename,task,subj_id,label1,label2,mixtureCoeff,id1,id2,class_pair
10,16,multiple-slider,16,359084,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,12227.399999976158,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.75_Bird_1587_Deer_4220.png,rate_mixture,,Bird,Deer,0.75,1587.0,4220.0,Bird_1587_Deer_4220.png
11,17,multiple-slider,17,372791,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,13703.0,,,,"[0,1]",,,,,,"{""mixingcoeff"":83,""confidence"":100}",mixed_0.1_Automobile_7309_Frog_9762.png,rate_mixture,,Automobile,Frog,0.1,7309.0,9762.0,Automobile_7309_Frog_9762.png
12,18,multiple-slider,18,383722,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,10928.899999976158,,,,"[0,1]",,,,,,"{""mixingcoeff"":50,""confidence"":67}",mixed_0.5_Dog_7493_Ship_8688.png,rate_mixture,,Dog,Ship,0.5,7493.0,8688.0,Dog_7493_Ship_8688.png
13,19,multiple-slider,19,395856,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,12131.59999999404,,,,"[0,1]",,,,,,"{""mixingcoeff"":50,""confidence"":50}",mixed_0.75_Cat_6833_Frog_1032.png,rate_mixture,,Cat,Frog,0.75,6833.0,1032.0,Cat_6833_Frog_1032.png
14,20,multiple-slider,20,408691,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,12831.90000000596,,,,"[0,1]",,,,,,"{""mixingcoeff"":50,""confidence"":50}",mixed_0.75_Bird_4706_Ship_6961.png,rate_mixture,,Bird,Ship,0.75,4706.0,6961.0,Bird_4706_Ship_6961.png
15,21,multiple-slider,21,415413,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,6719.0,,,,"[0,1]",,,,,,"{""mixingcoeff"":50,""confidence"":50}",mixed_0.5_Airplane_5618_Dog_1276.png,rate_mixture,,Airplane,Dog,0.5,5618.0,1276.0,Airplane_5618_Dog_1276.png
16,22,multiple-slider,22,427506,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,12091.0,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.9_Automobile_5909_Horse_7963.png,rate_mixture,,Automobile,Horse,0.9,5909.0,7963.0,Automobile_5909_Horse_7963.png
17,23,multiple-slider,23,435992,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,8483.59999999404,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.5_Horse_1170_Truck_5291.png,rate_mixture,,Horse,Truck,0.5,1170.0,5291.0,Horse_1170_Truck_5291.png
18,24,multiple-slider,24,445067,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,9071.80000001192,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.25_Airplane_9565_Frog_7527.png,rate_mixture,,Airplane,Frog,0.25,9565.0,7527.0,Airplane_9565_Frog_7527.png
19,25,multiple-slider,25,468511,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,23441.20000001788,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.75_Dog_7263_Frog_5412.png,rate_mixture,,Dog,Frog,0.75,7263.0,5412.0,Dog_7263_Frog_5412.png
20,26,multiple-slider,26,483190,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,14677.0,,,,"[0,1]",,,,,,"{""mixingcoeff"":20,""confidence"":100}",mixed_0.5_Automobile_1020_Deer_3851.png,rate_mixture,,Automobile,Deer,0.5,1020.0,3851.0,Automobile_1020_Deer_3851.png
21,27,multiple-slider,27,495532,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,12339.5,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.25_Airplane_4340_Ship_6049.png,rate_mixture,,Airplane,Ship,0.25,4340.0,6049.0,Airplane_4340_Ship_6049.png
22,28,multiple-slider,28,510364,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,14828.69999998808,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.25_Airplane_4701_Horse_867.png,rate_mixture,,Airplane,Horse,0.25,4701.0,867.0,Airplane_4701_Horse_867.png
23,29,multiple-slider,29,530668,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,20301.40000000596,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":80}",mixed_0.5_Automobile_6982_Horse_6807.png,rate_mixture,,Automobile,Horse,0.5,6982.0,6807.0,Automobile_6982_Horse_6807.png
24,30,multiple-slider,30,539501,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,8830.699999988079,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.9_Deer_3616_Horse_5693.png,rate_mixture,,Deer,Horse,0.9,3616.0,5693.0,Deer_3616_Horse_5693.png
25,31,multiple-slider,31,546172,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,6668.09999999404,,,,"[0,1]",,,,,,"{""mixingcoeff"":50,""confidence"":50}",mixed_0.1_Automobile_7236_Cat_5532.png,rate_mixture,,Automobile,Cat,0.1,7236.0,5532.0,Automobile_7236_Cat_5532.png
26,32,multiple-slider,32,556834,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,10659.59999999404,,,,"[0,1]",,,,,,"{""mixingcoeff"":17,""confidence"":100}",mixed_0.9_Bird_322_Truck_9517.png,rate_mixture,,Bird,Truck,0.9,322.0,9517.0,Bird_322_Truck_9517.png
27,33,multiple-slider,33,566080,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,9243.59999999404,,,,"[0,1]",,,,,,"{""mixingcoeff"":10,""confidence"":100}",mixed_0.5_Cat_256_Dog_9774.png,rate_mixture,,Cat,Dog,0.5,256.0,9774.0,Cat_256_Dog_9774.png
28,34,multiple-slider,34,577905,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,11821.70000001788,,,,"[0,1]",,,,,,"{""mixingcoeff"":12,""confidence"":100}",mixed_0.75_Cat_945_Horse_6318.png,rate_mixture,,Cat,Horse,0.75,945.0,6318.0,Cat_945_Horse_6318.png
29,35,multiple-slider,35,587165,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,9257.5,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.1_Cat_9142_Deer_7628.png,rate_mixture,,Cat,Deer,0.1,9142.0,7628.0,Cat_9142_Deer_7628.png
30,36,multiple-slider,36,617506,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,30340.20000001788,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.75_Airplane_4356_Horse_2791.png,rate_mixture,,Airplane,Horse,0.75,4356.0,2791.0,Airplane_4356_Horse_2791.png
31,37,multiple-slider,37,630987,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,13477.600000023842,,,,"[0,1]",,,,,,"{""mixingcoeff"":99,""confidence"":100}",mixed_0.5_Dog_7421_Horse_1899.png,rate_mixture,,Dog,Horse,0.5,7421.0,1899.0,Dog_7421_Horse_1899.png
32,38,multiple-slider,38,641648,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,10658.59999999404,,,,"[0,1]",,,,,,"{""mixingcoeff"":18,""confidence"":100}",mixed_0.9_Frog_3442_Truck_981.png,rate_mixture,,Frog,Truck,0.9,3442.0,981.0,Frog_3442_Truck_981.png
33,39,multiple-slider,39,652098,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,10448.0,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.9_Automobile_6159_Cat_9454.png,rate_mixture,,Automobile,Cat,0.9,6159.0,9454.0,Automobile_6159_Cat_9454.png
34,40,multiple-slider,40,660445,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,8344.0,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.1_Deer_3627_Dog_230.png,rate_mixture,,Deer,Dog,0.1,3627.0,230.0,Deer_3627_Dog_230.png
35,41,multiple-slider,41,672443,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,11995.20000001788,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.25_Cat_5630_Deer_4884.png,rate_mixture,,Cat,Deer,0.25,5630.0,4884.0,Cat_5630_Deer_4884.png
36,42,multiple-slider,42,687745,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,15299.0,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.9_Bird_837_Horse_9883.png,rate_mixture,,Bird,Horse,0.9,837.0,9883.0,Bird_837_Horse_9883.png
37,43,multiple-slider,43,697791,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,10042.5,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.9_Cat_9562_Truck_9927.png,rate_mixture,,Cat,Truck,0.9,9562.0,9927.0,Cat_9562_Truck_9927.png
38,44,multiple-slider,44,710944,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,13146.600000023842,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.5_Airplane_9973_Horse_9672.png,rate_mixture,,Airplane,Horse,0.5,9973.0,9672.0,Airplane_9973_Horse_9672.png
39,45,multiple-slider,45,718122,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,7175.0,,,,"[0,1]",,,,,,"{""mixingcoeff"":50,""confidence"":50}",mixed_0.25_Automobile_5323_Frog_5895.png,rate_mixture,,Automobile,Frog,0.25,5323.0,5895.0,Automobile_5323_Frog_5895.png
40,46,multiple-slider,46,746214,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,28089.09999999404,,,,"[0,1]",,,,,,"{""mixingcoeff"":79,""confidence"":100}",mixed_0.25_Airplane_8073_Ship_2578.png,rate_mixture,,Airplane,Ship,0.25,8073.0,2578.0,Airplane_8073_Ship_2578.png
41,47,multiple-slider,47,754987,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,8771.199999988079,,,,"[0,1]",,,,,,"{""mixingcoeff"":50,""confidence"":50}",mixed_0.75_Bird_1803_Horse_5320.png,rate_mixture,,Bird,Horse,0.75,1803.0,5320.0,Bird_1803_Horse_5320.png
42,48,multiple-slider,48,823330,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,68340.79999998212,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.75_Deer_7326_Truck_411.png,rate_mixture,,Deer,Truck,0.75,7326.0,411.0,Deer_7326_Truck_411.png
43,49,multiple-slider,49,830641,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,7308.199999988079,,,,"[0,1]",,,,,,"{""mixingcoeff"":99,""confidence"":100}",mixed_0.1_Deer_2134_Dog_7820.png,rate_mixture,,Deer,Dog,0.1,2134.0,7820.0,Deer_2134_Dog_7820.png
44,50,multiple-slider,50,836541,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,5897.59999999404,,,,"[0,1]",,,,,,"{""mixingcoeff"":50,""confidence"":50}",mixed_0.5_Cat_8386_Dog_729.png,rate_mixture,,Cat,Dog,0.5,8386.0,729.0,Cat_8386_Dog_729.png
45,51,multiple-slider,51,844962,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,8418.200000017881,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.9_Airplane_2215_Truck_349.png,rate_mixture,,Airplane,Truck,0.9,2215.0,349.0,Airplane_2215_Truck_349.png
46,52,multiple-slider,52,857760,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,12795.19999998808,,,,"[0,1]",,,,,,"{""mixingcoeff"":78,""confidence"":100}",mixed_0.5_Airplane_2110_Truck_6542.png,rate_mixture,,Airplane,Truck,0.5,2110.0,6542.0,Airplane_2110_Truck_6542.png
47,53,multiple-slider,53,873985,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,16223.20000001788,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.25_Airplane_1010_Deer_5786.png,rate_mixture,,Airplane,Deer,0.25,1010.0,5786.0,Airplane_1010_Deer_5786.png
48,54,multiple-slider,54,884748,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,10759.59999999404,,,,"[0,1]",,,,,,"{""mixingcoeff"":50,""confidence"":50}",mixed_0.75_Bird_3139_Frog_4073.png,rate_mixture,,Bird,Frog,0.75,3139.0,4073.0,Bird_3139_Frog_4073.png
49,55,multiple-slider,55,890878,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,6127.09999999404,,,,"[0,1]",,,,,,"{""mixingcoeff"":50,""confidence"":50}",mixed_0.5_Deer_9610_Ship_1713.png,rate_mixture,,Deer,Ship,0.5,9610.0,1713.0,Deer_9610_Ship_1713.png
50,56,multiple-slider,56,931289,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,40409.0,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.25_Bird_424_Ship_4145.png,rate_mixture,,Bird,Ship,0.25,424.0,4145.0,Bird_424_Ship_4145.png
51,57,multiple-slider,57,954777,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,23482.90000000596,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.75_Horse_3561_Truck_9026.png,rate_mixture,,Horse,Truck,0.75,3561.0,9026.0,Horse_3561_Truck_9026.png
52,58,multiple-slider,58,962846,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,8066.5,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.75_Automobile_6816_Horse_4825.png,rate_mixture,,Automobile,Horse,0.75,6816.0,4825.0,Automobile_6816_Horse_4825.png
53,59,multiple-slider,59,980362,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,17513.19999998808,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.75_Deer_9937_Truck_7491.png,rate_mixture,,Deer,Truck,0.75,9937.0,7491.0,Deer_9937_Truck_7491.png
54,60,multiple-slider,60,1032829,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,52463.40000000596,,,,"[0,1]",,,,,,"{""mixingcoeff"":50,""confidence"":50}",mixed_0.5_Deer_4834_Ship_1279.png,rate_mixture,,Deer,Ship,0.5,4834.0,1279.0,Deer_4834_Ship_1279.png
55,61,multiple-slider,61,1041974,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,9143.09999999404,,,,"[0,1]",,,,,,"{""mixingcoeff"":78,""confidence"":50}",mixed_0.1_Automobile_1301_Ship_8460.png,rate_mixture,,Automobile,Ship,0.1,1301.0,8460.0,Automobile_1301_Ship_8460.png
56,62,multiple-slider,62,1052312,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,10335.30000001192,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.1_Dog_3026_Horse_2340.png,rate_mixture,,Dog,Horse,0.1,3026.0,2340.0,Dog_3026_Horse_2340.png
57,63,multiple-slider,63,1061651,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,9336.0,,,,"[0,1]",,,,,,"{""mixingcoeff"":50,""confidence"":50}",mixed_0.5_Automobile_240_Bird_2066.png,rate_mixture,,Automobile,Bird,0.5,240.0,2066.0,Automobile_240_Bird_2066.png
58,64,multiple-slider,64,1072391,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,10737.80000001192,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.9_Automobile_6431_Dog_5467.png,rate_mixture,,Automobile,Dog,0.9,6431.0,5467.0,Automobile_6431_Dog_5467.png
59,65,multiple-slider,65,1084743,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,12349.0,,,,"[0,1]",,,,,,"{""mixingcoeff"":99,""confidence"":100}",mixed_0.1_Dog_3496_Frog_3793.png,rate_mixture,,Dog,Frog,0.1,3496.0,3793.0,Dog_3496_Frog_3793.png
60,66,multiple-slider,66,1106029,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,21286.40000000596,,,,"[0,1]",,,,,,"{""mixingcoeff"":50,""confidence"":50}",mixed_0.5_Airplane_5618_Dog_1276.png,rerun_rate_mixture,,Airplane,Dog,0.5,5618.0,1276.0,Airplane_5618_Dog_1276.png
61,67,multiple-slider,67,1114201,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,8169.90000000596,,,,"[0,1]",,,,,,"{""mixingcoeff"":79,""confidence"":50}",mixed_0.5_Automobile_1020_Deer_3851.png,rerun_rate_mixture,,Automobile,Deer,0.5,1020.0,3851.0,Automobile_1020_Deer_3851.png
62,81,multiple-slider,12,243508,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,14946.200000286102,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.9_Airplane_9271_Automobile_9455.png,rate_mixture,,Airplane,Automobile,0.9,9271.0,9455.0,Airplane_9271_Automobile_9455.png
63,82,multiple-slider,13,248366,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,4854.299999713898,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.1_Automobile_1549_Dog_3666.png,rate_mixture,,Automobile,Dog,0.1,1549.0,3666.0,Automobile_1549_Dog_3666.png
64,83,multiple-slider,14,257629,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,9260.200000286102,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.25_Cat_1625_Dog_2459.png,rate_mixture,,Cat,Dog,0.25,1625.0,2459.0,Cat_1625_Dog_2459.png
65,84,multiple-slider,15,264521,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,6887.799999713898,,,,"[0,1]",,,,,,"{""mixingcoeff"":50,""confidence"":50}",mixed_0.5_Automobile_4890_Dog_7168.png,rate_mixture,,Automobile,Dog,0.5,4890.0,7168.0,Automobile_4890_Dog_7168.png
66,85,multiple-slider,16,270227,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,5702.699999809265,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.1_Dog_8236_Frog_635.png,rate_mixture,,Dog,Frog,0.1,8236.0,635.0,Dog_8236_Frog_635.png
67,86,multiple-slider,17,281975,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,11744.799999713898,,,,"[0,1]",,,,,,"{""mixingcoeff"":12,""confidence"":20}",mixed_0.25_Frog_4669_Truck_1893.png,rate_mixture,,Frog,Truck,0.25,4669.0,1893.0,Frog_4669_Truck_1893.png
68,87,multiple-slider,18,286764,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,4785.5,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.5_Cat_9498_Dog_6014.png,rate_mixture,,Cat,Dog,0.5,9498.0,6014.0,Cat_9498_Dog_6014.png
69,88,multiple-slider,19,290643,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,3875.89999961853,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.25_Automobile_8712_Frog_6558.png,rate_mixture,,Automobile,Frog,0.25,8712.0,6558.0,Automobile_8712_Frog_6558.png
70,89,multiple-slider,20,296441,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,5795.0,,,,"[0,1]",,,,,,"{""mixingcoeff"":19,""confidence"":38}",mixed_0.25_Automobile_6159_Bird_3525.png,rate_mixture,,Automobile,Bird,0.25,6159.0,3525.0,Automobile_6159_Bird_3525.png
71,90,multiple-slider,21,300014,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,3569.7999997138977,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.1_Cat_5413_Frog_616.png,rate_mixture,,Cat,Frog,0.1,5413.0,616.0,Cat_5413_Frog_616.png
72,91,multiple-slider,22,306383,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,6366.700000286102,,,,"[0,1]",,,,,,"{""mixingcoeff"":27,""confidence"":42}",mixed_0.75_Deer_2809_Horse_4892.png,rate_mixture,,Deer,Horse,0.75,2809.0,4892.0,Deer_2809_Horse_4892.png
73,92,multiple-slider,23,310216,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,3830.0,,,,"[0,1]",,,,,,"{""mixingcoeff"":70,""confidence"":83}",mixed_0.5_Cat_3901_Ship_2284.png,rate_mixture,,Cat,Ship,0.5,3901.0,2284.0,Cat_3901_Ship_2284.png
74,93,multiple-slider,24,314702,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,4480.900000095367,,,,"[0,1]",,,,,,"{""mixingcoeff"":28,""confidence"":65}",mixed_0.5_Deer_9610_Ship_8921.png,rate_mixture,,Deer,Ship,0.5,9610.0,8921.0,Deer_9610_Ship_8921.png
75,94,multiple-slider,25,318070,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,3365.0,,,,"[0,1]",,,,,,"{""mixingcoeff"":40,""confidence"":66}",mixed_0.75_Airplane_3494_Horse_3786.png,rate_mixture,,Airplane,Horse,0.75,3494.0,3786.0,Airplane_3494_Horse_3786.png
76,95,multiple-slider,26,320835,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,2761.8999996185303,,,,"[0,1]",,,,,,"{""mixingcoeff"":38,""confidence"":66}",mixed_0.25_Cat_2261_Horse_4781.png,rate_mixture,,Cat,Horse,0.25,2261.0,4781.0,Cat_2261_Horse_4781.png
77,96,multiple-slider,27,324483,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,3645.5,,,,"[0,1]",,,,,,"{""mixingcoeff"":20,""confidence"":39}",mixed_0.25_Airplane_6437_Cat_8446.png,rate_mixture,,Airplane,Cat,0.25,6437.0,8446.0,Airplane_6437_Cat_8446.png
78,97,multiple-slider,28,327868,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,3380.9000000953674,,,,"[0,1]",,,,,,"{""mixingcoeff"":83,""confidence"":38}",mixed_0.9_Deer_4472_Frog_1513.png,rate_mixture,,Deer,Frog,0.9,4472.0,1513.0,Deer_4472_Frog_1513.png
79,98,multiple-slider,29,332973,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,5101.699999809265,,,,"[0,1]",,,,,,"{""mixingcoeff"":51,""confidence"":47}",mixed_0.9_Bird_5712_Ship_8644.png,rate_mixture,,Bird,Ship,0.9,5712.0,8644.0,Bird_5712_Ship_8644.png
80,99,multiple-slider,30,340049,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,7073.199999809265,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.9_Cat_6990_Dog_6609.png,rate_mixture,,Cat,Dog,0.9,6990.0,6609.0,Cat_6990_Dog_6609.png
81,100,multiple-slider,31,347661,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,7608.700000286102,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.1_Automobile_1458_Deer_165.png,rate_mixture,,Automobile,Deer,0.1,1458.0,165.0,Automobile_1458_Deer_165.png
82,101,multiple-slider,32,351774,ggu7hhh03qg1sqj,633dba58fdd310c8d2d6d7e5,4,4109.60000038147,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.25_Airplane_9031_Frog_1817.png,rate_mixture,,Airplane,Frog,0.25,9031.0,1817.0,Airplane_9031_Frog_1817.png
