,index,trial_type,trial_index,time_elapsed,subject,study_id,condition,rt,url,view_history,response,question_order,success,timeout,failed_images,failed_audio,failed_video,task,class_pair
42,55,survey-html-form,16,233238,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,15598.0,,,"{""select"":""select0.3""}",,,,,,,select_shuffled,Airplane_6970_Truck_9177
43,56,survey-html-form,17,249861,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,16620.60000000894,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Frog_512_Horse_1477
44,57,survey-html-form,18,263002,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,13138.79999999702,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Cat_608_Frog_1985
45,58,survey-html-form,19,275595,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,12590.90000000596,,,"{""select"":""select0.3""}",,,,,,,select_shuffled,Dog_6224_Frog_617
46,59,survey-html-form,20,299591,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,23994.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Cat_426_Dog_8766
47,60,survey-html-form,21,306845,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,7250.90000000596,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Automobile_7487_Bird_9825
48,61,survey-html-form,22,321355,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,14508.10000000894,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Deer_9924_Truck_9552
49,62,survey-html-form,23,344523,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,23166.20000000298,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Airplane_4606_Ship_5355
50,63,survey-html-form,24,367601,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,23076.70000000298,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Bird_7348_Cat_6202
51,64,survey-html-form,25,382742,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,15138.90000000596,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Dog_6214_Horse_5953
52,65,survey-html-form,26,395639,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,12895.0,,,"{""select"":""select0.3""}",,,,,,,select_shuffled,Ship_385_Truck_7661
53,66,survey-html-form,27,405839,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,10197.79999999702,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Frog_4179_Horse_2959
54,67,survey-html-form,28,419438,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,13597.40000000596,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Bird_4535_Cat_4652
55,68,survey-html-form,29,430028,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,10587.29999999702,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Airplane_8402_Dog_9414
56,69,survey-html-form,30,460346,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,30316.0,,,"{""select"":""select0.3""}",,,,,,,select_shuffled,Bird_776_Ship_711
57,70,survey-html-form,31,469111,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,8762.90000000596,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Bird_5771_Truck_1344
58,71,survey-html-form,32,478721,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,9608.79999999702,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Airplane_4557_Automobile_6100
59,72,survey-html-form,33,495992,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,17268.10000000894,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Frog_5567_Truck_1114
60,73,survey-html-form,34,502784,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,6790.09999999404,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Cat_2840_Frog_3427
61,74,survey-html-form,35,515912,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,13125.89999999106,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Bird_4873_Deer_4677
62,75,survey-html-form,36,528528,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,12613.70000000298,,,"{""select"":""select0.5""}",,,,,,,rerun_select_shuffled,Automobile_9830_Bird_5118
63,76,survey-html-form,37,537708,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,9177.79999999702,,,"{""select"":""select0.6""}",,,,,,,rerun_select_shuffled,Airplane_6970_Truck_9177
64,84,survey-html-form,6,76999,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,9680.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Airplane_4040_Bird_2097
65,85,survey-html-form,7,86363,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,9357.0,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Ship_8441_Truck_5521
66,86,survey-html-form,8,91575,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,5207.0,,,"{""select"":""select0.7""}",,,,,,,select_shuffled,Bird_2383_Dog_9098
67,87,survey-html-form,9,100236,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,8658.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Ship_3357_Truck_5958
68,88,survey-html-form,10,106796,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,6557.0,,,"{""select"":""select0.3""}",,,,,,,select_shuffled,Bird_7821_Ship_2380
69,89,survey-html-form,11,113691,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,6893.0,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Automobile_4549_Cat_1377
70,90,survey-html-form,12,120199,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,6502.0,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Cat_4652_Truck_4550
71,91,survey-html-form,13,123604,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,3402.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Deer_1945_Dog_9376
72,92,survey-html-form,14,127200,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,3592.0,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Dog_478_Truck_9099
73,93,survey-html-form,15,132310,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,5106.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Automobile_366_Dog_8115
74,94,survey-html-form,16,139458,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,7146.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Deer_9711_Horse_3187
75,95,survey-html-form,17,148075,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,8613.0,,,"{""select"":""select0.3""}",,,,,,,select_shuffled,Automobile_947_Cat_4760
76,96,survey-html-form,18,152290,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,4209.0,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Automobile_3370_Horse_2734
77,97,survey-html-form,19,155000,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,2708.0,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Bird_6145_Cat_7399
78,98,survey-html-form,20,162143,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,7140.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Cat_3572_Dog_6564
79,99,survey-html-form,21,170973,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,8825.0,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Automobile_2484_Truck_1697
80,100,survey-html-form,22,174300,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,3322.0,,,"{""select"":""select0.7""}",,,,,,,select_shuffled,Deer_8086_Truck_4952
81,101,survey-html-form,23,179266,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,4963.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Bird_3934_Dog_6890
82,102,survey-html-form,24,182177,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,2908.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Airplane_8909_Dog_1793
83,103,survey-html-form,25,186315,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,4135.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Airplane_4216_Horse_6266
84,104,survey-html-form,26,199778,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,13454.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Bird_4873_Deer_4677
85,105,survey-html-form,27,206753,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,6967.0,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Cat_4346_Truck_4932
86,106,survey-html-form,28,215029,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,8273.0,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Automobile_2712_Truck_2433
87,107,survey-html-form,29,221127,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,6091.0,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Airplane_74_Dog_3610
88,108,survey-html-form,30,223884,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,2752.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Airplane_4824_Truck_4719
89,109,survey-html-form,31,230351,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,6462.0,,,"{""select"":""select0.2""}",,,,,,,select_shuffled,Automobile_3553_Horse_7751
90,110,survey-html-form,32,234847,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,4485.0,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Dog_3748_Horse_5690
91,111,survey-html-form,33,239811,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,4953.0,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Airplane_1719_Automobile_4425
92,112,survey-html-form,34,246113,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,6293.0,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Ship_337_Truck_2305
93,113,survey-html-form,35,256923,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,10807.0,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Cat_78_Deer_1015
94,114,survey-html-form,36,261713,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,4783.0,,,"{""select"":""select0.4""}",,,,,,,rerun_select_shuffled,Automobile_4549_Cat_1377
95,115,survey-html-form,37,267476,e3689aje2d8r38z,633e13ba656728259b9f46cb,4,5759.0,,,"{""select"":""select0.6""}",,,,,,,rerun_select_shuffled,Deer_9711_Horse_3187
96,123,survey-html-form,6,264304,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,56830.300000000745,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Airplane_8909_Dog_1793
97,124,survey-html-form,7,318137,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,53829.40000000037,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Automobile_947_Cat_4760
98,125,survey-html-form,8,363959,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,45818.20000000112,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Ship_8441_Truck_5521
99,126,survey-html-form,9,401132,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,37168.5,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Cat_4346_Truck_4932
100,127,survey-html-form,10,418412,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,17276.299999998882,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Airplane_4216_Horse_6266
101,128,survey-html-form,11,441401,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,22985.60000000149,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Airplane_4824_Truck_4719
102,129,survey-html-form,12,457084,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,15678.5,,,"{""select"":""select0.7""}",,,,,,,select_shuffled,Bird_2383_Dog_9098
103,130,survey-html-form,13,487167,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,30080.400000000373,,,"{""select"":""select0.7""}",,,,,,,select_shuffled,Airplane_1719_Automobile_4425
104,131,survey-html-form,14,521919,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,34748.59999999963,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Airplane_74_Dog_3610
105,132,survey-html-form,15,542368,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,20444.69999999925,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Automobile_2484_Truck_1697
106,133,survey-html-form,16,558668,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,16296.299999998882,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Deer_1945_Dog_9376
107,134,survey-html-form,17,591744,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,33072.300000000745,,,"{""select"":""select0.3""}",,,,,,,select_shuffled,Cat_4652_Truck_4550
108,135,survey-html-form,18,618603,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,26856.099999999627,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Deer_8086_Truck_4952
109,136,survey-html-form,19,644491,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,25884.5,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Bird_6145_Cat_7399
110,137,survey-html-form,20,661486,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,16990.599999999627,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Bird_4873_Deer_4677
111,138,survey-html-form,21,680279,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,18790.099999999627,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Automobile_366_Dog_8115
112,139,survey-html-form,22,701300,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,21016.900000000373,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Dog_3748_Horse_5690
113,140,survey-html-form,23,721071,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,19767.800000000745,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Bird_7821_Ship_2380
114,141,survey-html-form,24,756995,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,35921.20000000112,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Ship_337_Truck_2305
115,142,survey-html-form,25,814902,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,57903.59999999963,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Automobile_3553_Horse_7751
116,143,survey-html-form,26,835503,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,20597.0,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Deer_9711_Horse_3187
117,144,survey-html-form,27,851651,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,16143.900000000373,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Automobile_3370_Horse_2734
118,145,survey-html-form,28,876523,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,24867.300000000745,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Automobile_2712_Truck_2433
119,146,survey-html-form,29,906571,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,30043.400000000373,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Ship_3357_Truck_5958
120,147,survey-html-form,30,931263,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,24688.5,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Bird_3934_Dog_6890
121,148,survey-html-form,31,955603,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,24336.0,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Cat_78_Deer_1015
122,149,survey-html-form,32,967943,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,12336.699999999257,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Dog_478_Truck_9099
123,150,survey-html-form,33,981287,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,13340.199999999257,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Airplane_4040_Bird_2097
124,151,survey-html-form,34,994247,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,12957.099999999627,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Cat_3572_Dog_6564
125,152,survey-html-form,35,1008611,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,14360.699999999257,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Automobile_4549_Cat_1377
126,153,survey-html-form,36,1019832,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,11216.400000000373,,,"{""select"":""select0.6""}",,,,,,,rerun_select_shuffled,Airplane_4824_Truck_4719
127,154,survey-html-form,37,1086127,m7nhksy3h42z0ag,633e13ba656728259b9f46cb,4,66290.80000000075,,,"{""select"":""select0.5""}",,,,,,,rerun_select_shuffled,Deer_1945_Dog_9376
128,162,survey-html-form,6,88536,1sd7x6dt9so63zo,633e13ba656728259b9f46cb,7,7671.700000047684,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Dog_6224_Frog_617
129,163,survey-html-form,7,98188,1sd7x6dt9so63zo,633e13ba656728259b9f46cb,7,9644.5,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Deer_9924_Truck_9552
130,164,survey-html-form,8,105984,1sd7x6dt9so63zo,633e13ba656728259b9f46cb,7,7787.899999856949,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Frog_4179_Horse_2959
131,165,survey-html-form,9,111825,1sd7x6dt9so63zo,633e13ba656728259b9f46cb,7,5832.399999856949,,,"{""select"":""select0.3""}",,,,,,,select_shuffled,Airplane_4606_Ship_5355
132,166,survey-html-form,10,120590,1sd7x6dt9so63zo,633e13ba656728259b9f46cb,7,8753.799999952316,,,"{""select"":""select0.3""}",,,,,,,select_shuffled,Bird_6925_Frog_1766
133,167,survey-html-form,11,126013,1sd7x6dt9so63zo,633e13ba656728259b9f46cb,7,5416.599999904633,,,"{""select"":""select0.7""}",,,,,,,select_shuffled,Deer_1300_Frog_6731
134,168,survey-html-form,12,130000,1sd7x6dt9so63zo,633e13ba656728259b9f46cb,7,3985.900000095368,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Ship_385_Truck_7661
135,169,survey-html-form,13,133965,1sd7x6dt9so63zo,633e13ba656728259b9f46cb,7,3953.200000047684,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Airplane_8402_Dog_9414
136,170,survey-html-form,14,137851,1sd7x6dt9so63zo,633e13ba656728259b9f46cb,7,3879.900000095368,,,"{""select"":""select0.3""}",,,,,,,select_shuffled,Automobile_9807_Horse_7456
137,171,survey-html-form,15,142137,1sd7x6dt9so63zo,633e13ba656728259b9f46cb,7,4280.100000143051,,,"{""select"":""select0.7""}",,,,,,,select_shuffled,Bird_7348_Cat_6202
138,172,survey-html-form,16,146661,1sd7x6dt9so63zo,633e13ba656728259b9f46cb,7,4516.600000143051,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Deer_4399_Dog_4934
139,173,survey-html-form,17,153224,1sd7x6dt9so63zo,633e13ba656728259b9f46cb,7,6553.099999904633,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Frog_5567_Truck_1114
140,174,survey-html-form,18,157417,1sd7x6dt9so63zo,633e13ba656728259b9f46cb,7,4186.900000095367,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Dog_6214_Horse_5953
141,175,survey-html-form,19,164334,1sd7x6dt9so63zo,633e13ba656728259b9f46cb,7,6906.099999904633,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Automobile_9830_Bird_5118
142,176,survey-html-form,20,169285,1sd7x6dt9so63zo,633e13ba656728259b9f46cb,7,4943.600000143051,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Bird_4535_Cat_4652
